,dominant_topic,text
83,hillary,@greeneyes0084 @realDonaldTrump she sounded like the robot on lost in space without the empathy
84,trump,@HillaryClinton https://t.co/aCbtZGpSJ5
85,trump,"Bless you, Marine. https://t.co/pTEAbCKU5X"
86,hillary,"Even if that child is a refugee who comes fleeing violence in Central America, @HillaryClinton? https://t.co/TMgLxRLUGC"
87,trump,@HillaryClinton why you subtweetin @realDonaldTrump like that https://t.co/9Jm4DwRbe7
88,trump,@HillaryClinton https://t.co/AyWwum6Zhu
89,hillary,@MichaelColaa @jimjefferies @HillaryClinton she's a politician and he's a egocentric belligerent reality star...
90,hillary,"Does this woman never give it a rest. She gives the word ""blatant"" a whole new meaning. 
Color her crooked! https://t.co/PPQSqEpdhv"
91,trump,@HillaryClinton https://t.co/Q4ew2tUWqZ
92,trump,@lordaedonis Is @HillaryClinton advocating young black males be denied their #2A rights?   Gutsy position. &lt;/sarc&gt;
93,trump,"SHOCK! I'm about to say, for the first time EVER something positive about @realDonaldTrump 
I approve of his comments today re #SchoolChoice"
94,trump,@realDonaldTrump going to ask Putin real nicely? Maybe sell him @mike_pence  https://t.co/UmwYx3rvvo
95,trump,"Yes, @realDonaldTrump has a plan. Bullshit as many gullible American as possible to vote for him. #inners"
96,trump,Because #ImWithHer...this will never happen.  https://t.co/s0ibcpvc0O
97,trump,Y todavia el tipo quiere un muro .l. @realDonaldTrump por que no le pones un muro a tu p&amp;%@ madre imbecil!!! https://t.co/FR4iTydFsw
98,hillary,@realDonaldTrump finding out that Crazy #RudyGiuliani said he now believes Pres. Obama was born in U.S. #hardball https://t.co/HUnLhfG14w
99,trump,@brianwins5 @ABC @realDonaldTrump   one of the biggest....
100,trump,"I guess @realDonaldTrump includes @DrJillStein among ""the other two"" He doesn't want to debate them #OpenDebates  https://t.co/sS96StiKGA"
101,hillary,@HillaryClinton Gun violence is near a 50-year low. What epidemic?
102,hillary,"@HardballChris, @RudolphGiuliani looking a pile of money if @realDonaldTrump wins or not. Says anything to get paid. https://t.co/cYzRdTr76y"
103,hillary,@JamesRosenFNC @brithume @HillaryClinton isn't curious how she was able to produce those emails so quickly.Were those turned over to FBI?
104,trump,@HillaryClinton https://t.co/NrsutHI8dv
105,trump,@4URNV @JenniferADevon @realDonaldTrump It would have been interesting if Trump had been asked the same ? last night. Bet he wouldn't know
106,trump,"@realDonaldTrump 
No chance for #CrookedHillary
... She didn't even know that we have boots on the ground..! #Iraq"
107,hillary,@Cernovich @Liz_Wheeler Is it true @HillaryClinton used campaign donation to purchase this plane? #Truth https://t.co/8LUVJ0Pfep
108,trump,"My advice to @HillaryClinton, her staff, surrogates and supporters:DO NOT answer/comment EVER again about emails- END IT NOW. #JustRefuse 👈🏻"
109,trump,Some Republicans officials support #Trump saying Putin has been a good leader &amp; say #Obama is a dictator for signing Executive Orders #smh
110,trump,"LIBERAL = Powell is an Uncle Tom! Hillary never lies and opposing her makes you a racist, misogynistic pig! :/ https://t.co/2G7UwB61Oj"
111,hillary,Inspiring story form @HillaryClinton via #HumansOfNewYork https://t.co/QijdCa8B1z
112,trump,@HillaryClinton https://t.co/owIO1GE5b0
113,trump,@IngrahamAngle @bigboater88 Hillary's urine bag filled too fast 4 her discomfort &amp; OBVI her defiance over NBC rules showed@#NeverHillary👎
114,trump,BULLSHIT!! https://t.co/B5I0Wno0Og
115,trump,@PJMedia_com @MittRomney @GovGaryJohnson @realDonaldTrump @HillaryClinton who ? https://t.co/rNF12cTAaL
116,trump,😂😂😂😂😭😭funny.. https://t.co/CMsPlgfewJ
117,trump,"#Trump in 2016 Temp:Crab Orchard, Ky."":80.2°F Wind:0.0mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in.  Forecast: Unsettled, precip"
118,hillary,"@SpeakerRyan @SenateMajLdr @RedNationRising @realDonaldTrump @SavageNation Folks, this is why congress is despised. https://t.co/LT554VOBxO"
119,trump,@HillaryClinton https://t.co/2y9UX5WNGR
120,trump,@realDonaldTrump said before he had plan but last night he said when he comes out with a plan which is it and he defends Putin for hacking
121,hillary,Communism is like disease that creeps up on unsuspecting nations. It has infiltrated the Democrats &amp; #Hillary is their puppet. #Trump #MAGA
122,hillary,Idk her and she's irrelevant BUT THIS IS ICONIC https://t.co/TWyyUVhFuP
123,trump,@BannedVixen @wikileaks @DrJillStein @realDonaldTrump You don't seem to know much about her.  But go ahead and guess your way through.
124,trump,@HillaryClinton https://t.co/nwWvwrvwu9
125,trump,#GOTV #ImWithHer https://t.co/N5DUzZWKb0
126,hillary,"""I have pretty good with the body language."" @realDonaldTrump no have pretty good with the English language. #dopey  https://t.co/H7tgAavcSw"
127,trump,"Mr #Trump is the new Reagan. He wont just get GOP votes, he'll get crossover voters Democrats &amp; Independents. The new #Republican party #USA"
128,hillary,"@HillaryClinton ""We did NOT lose a single American in Libya"". That's right YOU WERE ASLEEP while four Americans died there and missed it."
129,trump,"#Trump was right about #generals again!   leaked emails:
“This is a mess.  I do not understand our WH!”
Read more: https://t.co/uY7sKHw7ec"
130,trump,@MLauer What you failed to call .@realDonaldTrump on was quite disappointing! https://t.co/uefbOhJpoF
131,trump,Have you really got a couple of weeks to explain the volumes of ways and means?  How bout a plan to make her quit! https://t.co/QK6wQ8DWBG
132,hillary,Anybody know this panzy's name with Killary? https://t.co/vtGiGlr6m3
133,hillary,Find out which GOP Congressman-woman in ur area supports #Trump .That person deservs ur vote. Dont reward those who hav sold out to Clinton
134,trump,Cubrir sus crímenes no es justicia @HillaryClinton @Hillary_esp  https://t.co/0fgtF2nGeK
135,hillary,@SkyNewsAust @realDonaldTrump good for the concrete industry I guess?
136,trump,@AC360 Does #CrookedHillary own the Media OR DOES THE MEDIA OWN HER
137,hillary,@HillaryClinton It Does Hurt To Try W/ Sound Judgement | Not SteroType https://t.co/f96C7UN3X9
138,hillary,"@HillaryClinton you mean the Jim Crow past by Democrats &amp; the KKK enforced, the same type laws Democrats pass today in the inner cities now."
139,trump,@realDonaldTrump https://t.co/PGTzhnrM7z
140,trump,@Lolibraun @P0TUSTrump @realDonaldTrump YES
141,hillary,"@HillaryClinton DEMOCRAT JIM CROW you mean? Oh, and having an ID CARD is NOT JIM CROW! You are so completely dishonest it's disgusting."
142,trump,https://t.co/stIFeEpS5s via @youtube@ @realDonaldTrump ? @PutinRF_Eng ?
143,trump,Trump really looks unhealthy lately. Is he tanning more to add color to his face? #tcot #maga
144,trump,😂😂😂SEE https://t.co/jOaRilQOkY
145,hillary,@JamesRosenFNC @brithume @HillaryClinton isn't curious how she was able to produce those emails so quickly.Were those turned over to FBI?
146,hillary,"@PolitiFact @HillaryClinton @realDonaldTrump a good portion of "" family farms ""are 2 working professionals tax loopholing it"
147,hillary,"@HillaryClinton Anyone who looks at 3,000 shootings and does nothing about it is called a Democrat Mayor and Democrat President. #Trump2016"
148,trump,@alanlost73 @realDonaldTrump @robdelaney YOU
149,trump,"TRUMP SANDWICH #NeverTrump 
Love this.. https://t.co/g4DC55Xod4"
150,trump,@elysepg That's a massive 200 people. How long was the line outside? I watched it live on tv. .@HillaryClinton .@realDonaldTrump
151,hillary,"Another ""We have to..."" @HillaryClinton constant phrase, regardless of the subject. ""We must, should, need to..."" https://t.co/grYpWP73bx"
152,trump,"@realDonaldTrump its a fucking RWNJ site, moron."
153,hillary,"@Michael_Barrell I have small man hands. Not @realDonaldTrump small, but small enough."
154,hillary,"@HillaryClinton With the high focus on National Security, I'd like to pose a question of a different topic if I may. 1/2"
155,hillary,I have some Trump supporters on my Linkedin feed. Trying to remove them all. People are using hating @HillaryClinton as an excuse for racism
156,trump,Almost as scary as a @realDonaldTrump presidency  https://t.co/wG9xtqphLb
157,trump,@realDonaldTrump working https://t.co/qJAbtmseBv
158,trump,@the1truepatri0t @PrisonPlanet @realDonaldTrump https://t.co/ThpvrSmQRA
159,hillary,"@HillaryClinton ""systemic racism"" BY DEMOCRATS who keep blacks on the plantation with LOUSY EDUCATION, welfare, pure bigotry."
160,hillary,"***Retweet so fast my hand damn fell off*** 

#ImWithHer  https://t.co/CYKK8ja5Qi"
161,hillary,"It means he is a liar. He's a known liar for years, probably his whole life. Keeps repeating even tho proof on film. https://t.co/eVIAyGsl9w"
162,trump,When @realDonaldTrump tells his supporters he officially opposed Irag war when there is evidence to contrary he fools his stupid supporters
163,hillary,@IngrahamAngle @MittRomney @GovGaryJohnson Johnson just an updated Bernie. A stooge for HRC &amp; DNC to take votes from @realDonaldTrump
164,trump,@CNN @ABCPolitics @NBCNews @CBSNews #NeverTrump #NeverHillary #Trump2016 #Hillary2016 Everyone please Pay attention! #JohnsonWeld2016
165,trump,.@IngrahamAngle #Hillary looks SO ANGRY AND UNHAPPY--like a LIAR while #Trump comes off as very HAPPY AND CONFIDENT--as a real LEADER.
166,trump,"@HillaryClinton Trump was right about #generals again! leaked emails:
“This is a mess. I do not understand our WH!”
 https://t.co/uY7sKHw7ec"
167,trump,"@AC360 The Vermin in the Liberal media have one agenda,to put #CrookedHillary the WH WE the in PEOPLE WILL STOP THEM https://t.co/zKpGNISd1C"
168,trump,"Foto paparazzi (despistado en Italiano) De #Trump haciendo mezcla para los primeros chocomil metros de muro
@mdelri0 https://t.co/OqcjOckWFz"
169,trump,"@realDonaldTrump IF U HAVE EVER SEEN SUCH A SORRY BUNCH OF LOSER PLEADING WITH LIES, ITS THE TRUMP DRAILED TRAIN https://t.co/eDn59wbVJA"
170,hillary,@gifuoh - big @piersmorgan fan I take it?  So fine. We all agree Johnson clearly a fool. Unlike Piers - &amp; you - I think #Trump is too ...
171,trump,@realDonaldTrump you are a liar you are out of your mind besides you are a coward as are your sons they didn't serve this country.COWARDS
172,trump,@mike_pence Was Awesome &amp; will take care ALL R CHILDREN! He&amp;Trump will make LIFE BETTER @AfAmDemocrats @DNCLatinos https://t.co/JX3SBONrRF
173,trump,And you want to build a wall?https://t.co/I4m82oJjry @realDonaldTrump
174,trump,@realDonaldTrump https://t.co/pVTNPKj04G #MakeAmericaGreatAgain #NoSacredCows #noPC #nomoresocialexperiments #TeamTrump #Breaking
175,trump,"#DonaldTrump got diarrhea at the mouth, and his clowns are cleaning it up. #HillaryClinton is a Survivor and will push through this."
176,trump,Shame on @HillaryClinton shame on you. No wonder you want to shut down the media. #NeverHillary #TrumpPence2016  https://t.co/rmDDViTUSO
177,trump,@cherokeesher2 @realDonaldTrump 103k out of how many millions of vets support @realDonaldTrump?  That's like his #s with Blacks and Latinos.
178,trump,@realDonaldTrump You will be a desaster if you become President! You will be uno
179,trump,@realDonaldTrump should smile more.
180,trump,@staggs8309 @realDonaldTrump @trumpdelete poll from alt right site that other people don't frequent
181,trump,@realDonaldTrump  https://t.co/BieetBpWLC
182,trump,"Please tell me one moment on this election Trump has been ""optimistic."" I'll wait https://t.co/LYiqCzF8Ws"
183,hillary,"@HillaryClinton ""reform criminal justice system"" 2 Democrats means only certain criminals get to walk to GET VOTES while others are put away"
184,hillary,@realDonaldTrump Rudy Giulliani just said on Hardball that you believe Obama is American born. It's about time that u admit u were wrong.
185,hillary,@HillaryClinton What kind of long term repair pledge / plan can you offer for the citizens of Flint?
186,hillary,"I am a volunteer at Pride and we have concerns, what if Trump wins? So #VoteHillary2016 #ImWithHer @HillaryClinton #LGBT"
187,hillary,"@cnn @andersoncooper CROOK @HillaryClinton doesn't like what she thinks is her RT - LYING 
#MAGA @realDonaldTrump https://t.co/jnMHgWOIHe"
188,hillary,@FoxBusiness @dagenmcdowell @HillaryClinton -and she is NOT visiting any poverty stricken city there is she !!
189,hillary,To equate @realDonaldTrump &amp; Hillary on the Iraq war is insane. Trump was an ordinary citizen at the time of the war not privy to intel info
190,trump,"Ooh, @HillaryClinton used the Reagan card. What would Ronald Reagan say about Trump's adoration of Putin? #inners"
191,trump,@realDonaldTrump please STOP talking about Putin please; Russia will never be our ally. This talk is your kryptonite. Stop it!
192,trump,@realDonaldTrump don't want to be a loser?  I have a plan for you.  Drop out of race and start Trump TV....you will become a trillionaire!
193,hillary,"All Tweets by Harambe are signed -H 

#DicksOutForHarambe #MAGA https://t.co/4GFnZIR0RZ"
194,hillary,"#BriutHume, U know U can't trust #Hillary w/classified info b/c she's a proven failure &amp;w/brain damage.#Trump as an unknown the clear choice"
195,hillary,When @DrJillStein will be charged for spray painting a bulldozer but @HillaryClinton won't after compromising our national security... 🐸☕️
196,trump,"@aka_Mick @RedNationRising @HillaryClinton @realDonaldTrump @mike_pence @JoxuaLuxor @sassysassyred @SandraTXAS. Ha ""they made me say it!""😎🇺🇸"
197,trump,@waynescrivner @realDonaldTrump @tonyschwartz What he really wants is an 82% approval rating. Something you rarely get in a democracy.
198,hillary,"Huma was on the other end.  That Radical Islamic Muslim Bitch can't be trusted.
She CONTROLS Killary in everything. https://t.co/Rs3mmEVQu9"
199,trump,Oh yes they did! https://t.co/8GJ8avK8s6
200,trump,#hardball https://t.co/7pOfqvl0lW
201,hillary,"@HillaryClinton More race baiting filth. Look at Detroit, Chicago, Oakland, St. Lo, NY if you want to see what Democrats ""create"" for blacks"
202,trump,@realDonaldTrump doing interview on Russian TV b/c he needs to shore up his support in Georgia.
203,trump,@realDonaldTrump LOL You are delusional
204,trump,@tkdmike @realDonaldTrump @momshieb @mike_pence @SpeakerRyan @SenateMajLdr @RepChuck @wbir https://t.co/jwKNUn8bao
205,hillary,@FoxNews @HillaryClinton If you were not running you would still be taking dirty money from foreign countries.
206,trump,@oreillyfactor @realDonaldTrump is right @BarackObama is a terrible weak leader &amp; he don't mine bashing America
207,trump,"@Billright50  I love how @realDonaldTrump keeps having press conferences on issues- boom, boom, boom- day after day- nailing it! 🔨⚰
#Trump"
208,trump,"@brianstelter @38_28_38 @VileStyle @schwaid @MLauer @realDonaldTrump The ONLY POLL 💈 That Will Counts wool be taken Nov 8, 2016! 🗳 #VoteBlue"
209,trump,@realDonaldTrump Yeah! THE reviews are in. On 09-15-2016 Your candidacy is over. MSM Will have to cover. https://t.co/7oa0WFxr2n
210,trump,"#Groucho
#Harpo 
#Chico
#Zeppo
#Gummo
#Gummo
#Aleppo
#GaryJohnson2016 #morningjoe #msnbc #Elections2016 #Trump
#Trumpo #whenwillthisbeover?"
211,trump,Never ever #Trump  https://t.co/SdD8xZMkEu
212,trump,@realDonaldTrump How come you aren't slamming Gary Johnson over his Alepo screw-up? Are you afraid you'll offend his supporters?
213,trump,"""Nobody died..."" @HillaryClinton https://t.co/0SZlKkDDj7"
214,hillary,What a despicable SOB is the governor of ND. He's another corporate greedy politician. Screw the ppl &amp; the water  https://t.co/umcokxNENg
215,trump,@skidmore11 @bannerite @rudygiulianiGOP @realDonaldTrump @msm Not a problem.  Trump NEVER said it and he won't.
216,hillary,@Cernovich #Hillary'sHammered.....next
217,trump,"@realDonaldTrump hasn’t been paying many of his staffers. Oh, but the GOP nominee’s children bring in a huge salary. #DonaldTrump #imwithher"
218,hillary,I dont think there is any question that @HillaryClinton has been cleared of wrongdoing. Enough to w/ the damn emails https://t.co/3kJzYpohD0
219,trump,@politico @HillaryClinton @realDonaldTrump Hillary a dirtbag
220,hillary,"@HillaryClinton is/was/always will be LIAR, CHEAT, CURRUPT, INCOMPETENT FAILURE..And she did it knowingly! https://t.co/VNB8la1DfM"
221,trump,@HillaryClinton https://t.co/qR7liaWBto
222,trump,@Buzz_Patriot @realDonaldTrump @jbendery 🙄 so I should read that shit stain? Try posting something I would at least wipe my ass with!!
223,hillary,"@realDonaldTrump Hillary had aide's destroy devices with hammers,thats straight Watergate stuff.can we impeach a presidential candidate"
224,hillary,@FoxNews @HillaryClinton Get cost down with Obama care? Give me a break!
225,trump,@HillaryClinton humility is not in your personality. Your  arrogance betrays and humility you might fake.
226,trump,@HillaryClinton https://t.co/dGrwotMGlC
227,hillary,This is the truth! 👇 https://t.co/Cps6ryD0fD
228,hillary,"@HillaryClinton It's NOT ""gun violence"" it's VIOLENCE in every form. So disgustingly dishonest to blame the gun instead of the CRIMINALS."
229,hillary,@HillaryClinton the more you spit &amp; bark on @realDonaldTrump  you dig into your own grave - zero credibility @billclinton sucks &amp; drags you
230,trump,@HillaryClinton https://t.co/7S3LyQtdow
231,trump,@realDonaldTrump TRUMP is now showing  paranoid schizophrenia TENDENCIES when he said he can read BODY LANGUAGE https://t.co/8K6lpc3pYe
232,trump,@2A_GraphX @UnPoliticalPrty @realDonaldTrump down by 2 ? That's smoke to drive ratings ! Try 6 to 8
233,hillary,"#RudyGiuliani is a heinous human being. He should never been partnered with his brother by another mother, @realdonaldtrump."
234,trump,@HillaryClinton @realDonaldTrump @CNN @davidaxelrod Trump STOP ur BS. If ur a good deal maker why u filed bankruptcy 6 times?
235,trump,Real men Show their Taxes! PROVE IT @realDonaldTrump Talk is cheap! You say your Rich show us! #ScaredyCatDon  https://t.co/dPX2f1OVWC
236,trump,"#CommanderInChiefForum 
Defensive #Hillary 

➡️ #Debuts A NEW #Classified #Email #HillaryLIE 

#breitbart https://t.co/5iFlwBrkwU"
237,trump,@AC360 @CNN Trump surrogates are always lying. @realDonaldTrump supported the Iraq war.
238,trump,"@realDonaldTrump 
Sleazy Donald - try a reputable poll not in an alt right web site Donald"
239,trump,@IngrahamAngle @Yeeeeeech @realDonaldTrump We must filter the noise from MSM and Hillionaire.
240,trump,@LSS1961 @mch7576 @politicususa @HillaryClinton When media anchors go low we go High!🙋🏼💙❤️💙❤️🎙☮🗽🇺🇸
241,trump,@realDonaldTrump congratulations! The numbers show what we have believed. You will be elected by a landslide.
242,hillary,"@FoxNews @HillaryClinton Who will pay for it Hillary? I will tell you, the working class."
243,trump,@FreeAmerican100 @GoalieBill328 @SJavner @4ChrisPBacon @_wintergirl93 @NigelFarge @PamelaGeller @AnitaDWhite @SEC_SAM @bfraser747 #Trump
244,trump,@KatyTurNBC @HardballChris @realDonaldTrump and Rudy lie when the truth sounds better. Shameful
245,hillary,"Got to meet the future Second Lady, Anne Holton today. #imwithher @… https://t.co/I1Xruf0b1q"
246,trump,"@KazmierskiR @SpecialKMB1969 @HillaryClinton 
Really!😂"
247,trump,Why isn't anyone in the media discussing Trump saying rape is ‘inevitable’ with women in the military!  #Nevertrump
248,trump,@winnig @tmmckinney777 @realDonaldTrump Hey Dirty Donald show us your taxes
249,trump,@oreillyfactor enough of your I'm smarter then everybody crap. Quit given advice to #Trump he's a hell of lot smarter then your sorry ass.
250,hillary,@Reince @HillaryClinton even 2hear her tell it she does everything wrong. in these critical times I'm ready for Mr Trump 2 make things right
251,hillary,@HillaryClinton And the way to do that is to VOTE OUT DEMOCRATS who don't give a damn &amp; put in people who actually CARE no matter what party
252,trump,Our Teens celebrating America night &amp; showing support for #DonaldTrump These teenagers 💙America &amp; want 2 #MAGA https://t.co/4JeI7QorZe
253,trump,@realDonaldTrump we call it PHONEGATE
254,hillary,"Cause she doesn't give a CRAP ABT ALL OUR USA CHILDREN....GET A GRIP, HEAR HER CRAP! NO MORE, HAD 8 YRS ENOUGH https://t.co/zMxUj4YfW9"
255,trump,What's scariest about @realDonaldTrump is he doesn't know what he doesn't know the #BullshitArtist doesn't even know what he says half the⌚
256,trump,@ljcambria @AZTrumpster @mitchellvii @kachninja @mcuban @Darren32895836 @realDonaldTrump I ck'd.Lynch &amp; the Obama's planted him as a buffer😡
257,trump,@HillaryClinton that describes trump.  Certainly not you
258,hillary,@Just_a_Texan @HillaryClinton @FBI   She lies about her lies!!
259,hillary,"@realDonaldTrump your performance was pathetic,i.e. non existent secret plan. Stupidity is not an excuse"
260,trump,#Trump If UNewAnythingAbout Current #VA System UWouldNoThere IsAlreadySystems N Play 4VeteransNeedingOutsideAssistance MyHusbandUsed It #p2
